name,max,mean
2024-07-06 16-41-40-MV Dosimetry-6x_25cGy.pkl,499.1066593189094,487.9473221694338
2024-07-06 16-42-53-MV Dosimetry-6x_75cGy.pkl,1235.88872353942,1224.4599240478324
2024-07-06 16-44-33-MV Dosimetry-6x_100cGy.pkl,1484.8484729931647,1471.0918286932467
2024-07-06 16-45-46-MV Dosimetry-6x_125cGy.pkl,1625.9250392279364,1610.5269083877586
2024-07-06 16-47-01-MV Dosimetry-6x_150cGy.pkl,1755.2131854133922,1736.7987788479836
2024-07-06 16-48-14-MV Dosimetry-6x_200cGy.pkl,1997.6334267001002,1976.346995966036
2024-07-06 16-49-26-MV Dosimetry-6x_225cGy.pkl,2087.2817088451266,2061.9654501546365
2024-07-06 16-50-38-MV Dosimetry-6x_250cGy.pkl,2147.8522428148517,2121.75256368183
