name,max,mean
2024-07-06 17-18-39-MV Dosimetry-6x_25cGy.pkl,512.095391960147,500.99391295354684
2024-07-06 17-19-52-MV Dosimetry-6x_75cGy.pkl,1239.243004572403,1226.0407805237878
2024-07-06 17-21-22-MV Dosimetry-6x_100cGy.pkl,1500.5578141762103,1483.0361275470048
2024-07-06 17-22-35-MV Dosimetry-6x_125cGy.pkl,1626.2484394179885,1609.9437728300866
2024-07-06 17-23-49-MV Dosimetry-6x_150cGy.pkl,1756.8362131896351,1739.1255401222506
2024-07-06 17-25-02-MV Dosimetry-6x_200cGy.pkl,2018.3223670111913,1993.9465020951643
2024-07-06 17-26-15-MV Dosimetry-6x_225cGy.pkl,2097.5102436392262,2069.4774254498047
2024-07-06 17-27-28-MV Dosimetry-6x_250cGy.pkl,2163.746576220863,2138.886506115322
