name,max,mean
2024-07-06 16-41-40-MV Dosimetry-6x_25cGy.pkl,499.1066593189094,490.28475749557464
2024-07-06 16-42-53-MV Dosimetry-6x_75cGy.pkl,1237.9293570462692,1227.6475896603151
2024-07-06 16-44-33-MV Dosimetry-6x_100cGy.pkl,1488.4681142526672,1474.3627388290904
2024-07-06 16-45-46-MV Dosimetry-6x_125cGy.pkl,1634.1680306664614,1614.0433895723418
2024-07-06 16-47-01-MV Dosimetry-6x_150cGy.pkl,1767.0188432226812,1739.9719062828842
2024-07-06 16-48-14-MV Dosimetry-6x_200cGy.pkl,2021.2471631295623,1980.2053226595249
2024-07-06 16-49-26-MV Dosimetry-6x_225cGy.pkl,2106.1418240651706,2065.5783443923488
2024-07-06 16-50-38-MV Dosimetry-6x_250cGy.pkl,2170.0674387574572,2125.5237193871726
