name,max,mean
2024-07-06 17-18-39-MV Dosimetry-6x_25cGy.pkl,512.095391960147,504.4057655701932
2024-07-06 17-19-52-MV Dosimetry-6x_75cGy.pkl,1239.243004572403,1231.7591141907485
2024-07-06 17-21-22-MV Dosimetry-6x_100cGy.pkl,1500.5578141762103,1489.94958052191
2024-07-06 17-22-35-MV Dosimetry-6x_125cGy.pkl,1622.9626733088232,1617.2060579898255
2024-07-06 17-23-49-MV Dosimetry-6x_150cGy.pkl,1755.4198272257572,1746.4946467389454
2024-07-06 17-25-02-MV Dosimetry-6x_200cGy.pkl,2013.5228340345943,2002.3627253656907
2024-07-06 17-26-15-MV Dosimetry-6x_225cGy.pkl,2089.692431530108,2078.0333239844817
2024-07-06 17-27-28-MV Dosimetry-6x_250cGy.pkl,2160.5822544585108,2147.7836782188833
