name,max,mean
2024-07-06 16-41-40-MV Dosimetry-6x_25cGy.pkl,499.1066593189094,490.28475749557464
2024-07-06 16-42-53-MV Dosimetry-6x_75cGy.pkl,1235.2306888896414,1227.6475896603151
2024-07-06 16-44-33-MV Dosimetry-6x_100cGy.pkl,1484.3843724159005,1474.3627388290904
2024-07-06 16-45-46-MV Dosimetry-6x_125cGy.pkl,1622.6151517633689,1614.0433895723418
2024-07-06 16-47-01-MV Dosimetry-6x_150cGy.pkl,1750.333577214527,1739.9719062828842
2024-07-06 16-48-14-MV Dosimetry-6x_200cGy.pkl,1993.1685942639187,1980.2053226595249
2024-07-06 16-49-26-MV Dosimetry-6x_225cGy.pkl,2074.3973140125595,2065.5783443923488
2024-07-06 16-50-38-MV Dosimetry-6x_250cGy.pkl,2137.082503018087,2125.5237193871726
